eps,pe_psia,isp_amb_s,isp_vac_s,mode
1.2,46.64300409564599,191.64905201036032,210.51406413373104,UnderExpanded (Pe=46.6557)
1.25,42.894433113573136,193.25448540990095,212.9055397050788,UnderExpanded (Pe=42.9061)
1.3,39.72971715259804,194.6762164143085,215.11331288129347,UnderExpanded (Pe=39.7405)
1.35,37.01016058452004,195.9382716049151,217.16141024370717,UnderExpanded (Pe=37.0202)
1.4,34.63420712993136,197.06634633832726,219.07552714892645,UnderExpanded (Pe=34.6436)
1.45,32.53741985338928,198.07509085630795,220.87031383871425,UnderExpanded (Pe=32.5463)
1.5,30.67033312059986,198.97804821751802,222.55931337173143,UnderExpanded (Pe=30.6787)
1.55,28.995336434484756,199.7864501675665,224.15375749358702,UnderExpanded (Pe=29.0032)
1.6,27.48310842909476,200.5097538520926,225.66310334992022,UnderExpanded (Pe=27.4906)
1.65,26.110327726499282,201.1560168928886,227.09540856252335,UnderExpanded (Pe=26.1174)
1.7,24.85813505217621,201.7321737781548,228.45760761959667,UnderExpanded (Pe=24.8649)
1.75,23.71106621213972,202.24424577217803,229.75572178542703,UnderExpanded (Pe=23.7175)
1.8,22.656287065659388,202.6975014894713,230.9950196745274,UnderExpanded (Pe=22.6624)
1.85,21.68303992875324,203.09657913621436,232.18013949307758,UnderExpanded (Pe=21.6889)
1.9,20.782219748375695,203.44558927114178,233.3151917998121,UnderExpanded (Pe=20.7879)
1.95,19.946064724856953,203.74819138213613,234.40383608261357,UnderExpanded (Pe=19.9515)
2.0,19.167907687772203,204.00765926351053,235.44934613579508,UnderExpanded (Pe=19.1731)
2.05,18.44198224483097,204.22693891852254,236.4546679626142,UnderExpanded (Pe=18.447)
2.1,17.763276507200736,204.40868501893638,237.42245623483515,UnderExpanded (Pe=17.7681)
2.15,17.127408533039226,204.55530237476995,238.35511576247586,UnderExpanded (Pe=17.1321)
2.2,16.530527581395106,204.668977289057,239.25483284857,UnderExpanded (Pe=16.535)
2.25,15.969236436004627,204.75170139517985,240.12359912649995,UnderExpanded (Pe=15.9736)
2.3,15.439675803295689,204.80666010466047,240.9646000077877,UnderExpanded (Pe=15.4439)
2.35,14.941044747452029,204.8325288602118,241.77651093514615,UnderExpanded (Pe=14.9451)
2.375293,14.699409337503115,204.83566817263818,242.1772775406029,Pexit = 14.7034
2.38,14.655193589989945,204.83553678259858,242.2511441606172,Pexit = 14.6592
2.4,14.469883968959167,204.83252042113298,242.56254466787445,OverExpanded (Pe=14.4738)
2.45,14.024058910679488,204.80803757918733,243.3241039977359,OverExpanded (Pe=14.0279)
2.5,13.601650092306315,204.7603766550729,244.06248524542858,OverExpanded (Pe=13.6053)
2.55,13.200927564563093,204.6907365111375,244.77888727330028,OverExpanded (Pe=13.2045)
2.6,12.820323532303766,204.6002331554851,245.47442608945505,OverExpanded (Pe=12.8238)
2.65,12.458419940799915,204.48989841379694,246.15013351957396,OverExpanded (Pe=12.4618)
2.7,12.113926842009148,204.36069511402556,246.80697239160972,OverExpanded (Pe=12.1172)
2.75,11.785669989838704,204.2135185672429,247.44583801663416,OverExpanded (Pe=11.7889)
2.8,11.472574755702135,204.04921081236017,248.06757243355852,OverExpanded (Pe=11.4757)
