propellant,density_case,rho_kg_m3,dp_frac_of_pc,dp_psia,cd,target_mdot_kg_s,sizing_model,required_total_area_mm2,example_n_orifices,example_orifice_diameter_mm,mdot_if_SPI_kg_s,mdot_if_Dyer_k1_kg_s,mdot_if_HEM_approx_kg_s,hem_factor_used,dyer_k
N2O,warm_750,750.0,0.1,15.0,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,10.174529176314053,8,1.2725276468678752,0.08237177577853759,0.05560094865051287,0.028830121522488154,0.35,1.0
N2O,warm_750,750.0,0.1,15.0,0.65,0.08237177577853759,Dyer_NHNE_k1_design,15.073376557502302,8,1.5488713271966745,0.12203226041264827,0.08237177577853758,0.04271129114442689,0.35,1.0
N2O,warm_750,750.0,0.1,15.0,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,29.070083360897296,8,2.1509643100201044,0.2353479307958217,0.15885985328717964,0.08237177577853759,0.35,1.0
N2O,warm_750,750.0,0.15,22.5,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,8.307468285009818,8,1.1498585313587333,0.08237177577853758,0.05560094865051286,0.02883012152248815,0.35,1.0
N2O,warm_750,750.0,0.15,22.5,0.65,0.08237177577853759,Dyer_NHNE_k1_design,12.307360422236767,8,1.3995632345887548,0.12203226041264827,0.08237177577853758,0.04271129114442689,0.35,1.0
N2O,warm_750,750.0,0.15,22.5,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,23.735623671456622,8,1.9436156602274335,0.23534793079582167,0.1588598532871796,0.08237177577853758,0.35,1.0
N2O,warm_750,750.0,0.2,30.0,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,7.194478575952045,8,1.0700639365624411,0.0823717757785376,0.055600948650512884,0.02883012152248816,0.35,1.0
N2O,warm_750,750.0,0.2,30.0,0.65,0.08237177577853759,Dyer_NHNE_k1_design,10.658486779188214,8,1.3024403467289467,0.12203226041264828,0.08237177577853759,0.04271129114442689,0.35,1.0
N2O,warm_750,750.0,0.2,30.0,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,20.555653074148704,8,1.8087381776345852,0.2353479307958217,0.15885985328717964,0.08237177577853759,0.35,1.0
N2O,warm_750,750.0,0.25,37.5,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,6.434937263397862,8,1.0120039891008354,0.08237177577853759,0.05560094865051287,0.028830121522488154,0.35,1.0
N2O,warm_750,750.0,0.25,37.5,0.65,0.08237177577853759,Dyer_NHNE_k1_design,9.533240390219055,8,1.2317720291460883,0.12203226041264825,0.08237177577853758,0.042711291144426886,0.35,1.0
N2O,warm_750,750.0,0.25,37.5,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,18.38553503827961,8,1.7105989543816045,0.2353479307958217,0.15885985328717964,0.08237177577853759,0.35,1.0
N2O,warm_750,750.0,0.3,45.0,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,5.8742671588226205,8,0.9669119170684597,0.08237177577853759,0.05560094865051287,0.028830121522488154,0.35,1.0
N2O,warm_750,750.0,0.3,45.0,0.65,0.08237177577853759,Dyer_NHNE_k1_design,8.702618013070548,8,1.1768877068865775,0.12203226041264827,0.08237177577853758,0.04271129114442689,0.35,1.0
N2O,warm_750,750.0,0.3,45.0,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,16.78362045377892,8,1.6343794413162307,0.2353479307958217,0.15885985328717964,0.08237177577853759,0.35,1.0
N2O,cool_900,900.0,0.1,15.0,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,9.288031903102775,8,1.2158273680806952,0.08237177577853758,0.05560094865051286,0.02883012152248815,0.35,1.0
