case,ox,fuel,chemistry,pc_psia,pamb_psia,mr,eps,pe_psia,isp_amb_s,isp_vac_s,mode,cstar_m_s,t_chamber_k,chamber_mw,chamber_gamma,cf_cea,cf_amb,thrust_n,mdot_kg_s,throat_area_m2,throat_diameter_mm,exit_diameter_mm
N2O_Ethanol,N2O,C2H5OH,equilibrium,100.0,14.7,4.449999999999995,1.822596757052572,14.699996615889905,188.09284959341397,230.98728681482055,Pexit = 14.704,1570.0484931916433,3017.1891029541375,25.085585821581194,1.1404151544001586,1.1748414098693298,1.1748413935555613,,,,,
N2O_Ethanol,N2O,C2H5OH,equilibrium,125.0,14.7,4.5499999999999945,2.1030665166474827,14.699995346133148,197.5836910969552,237.2278601519947,Pexit = 14.704,1571.951016553505,3042.840959994742,25.241089712984312,1.1405735965927513,1.2326282374556101,1.2326282178344046,,,,,
N2O_Ethanol,N2O,C2H5OH,equilibrium,150.0,14.7,4.649999999999994,2.3752930506943715,14.699409337503115,204.83566737567992,242.1772775406029,Pexit = 14.7034,1573.1487409649164,3064.1792258590535,25.38522761533466,1.1405675188285862,1.276900058667124,1.2768968461747208,,,,,
N2O_Ethanol,N2O,C2H5OH,equilibrium,175.0,14.7,4.699999999999994,2.6328083626518413,14.699778770633936,210.65098053340768,246.15826508496247,Pexit = 14.7038,1574.4865168061058,3080.070449325772,25.46759216183753,1.1410540288180075,1.3120335085364048,1.3120323982220714,,,,,
N2O_Ethanol,N2O,C2H5OH,equilibrium,200.0,14.7,4.799999999999994,2.893308695541066,14.69985187634407,215.47227651796035,249.62180484253426,Pexit = 14.7038,1574.789891296481,3095.969607232878,25.59682038682991,1.14089924200347,1.3418038252214153,1.3418031339949363,,,,,
N2O_Ethanol,N2O,C2H5OH,equilibrium,250.0,14.7,4.899999999999993,3.3806988705021235,14.699939323433236,223.1237600075496,255.07184351845297,Pexit = 14.7039,1576.0900109734312,3119.0226684206978,25.73924305472718,1.1414659015743789,1.3883050524482035,1.3883047945307192,,,,,
N2O_Ethanol,N2O,C2H5OH,equilibrium,300.0,14.7,4.949999999999993,3.8368366032592096,14.699974551885115,229.0248224720109,259.26941995289206,Pexit = 14.704,1577.6056191382795,3136.5682498816013,25.822733237489032,1.1422395039506321,1.423653041906959,1.4236529449955713,,,,,
N2O_IPA,N2O,Isopropanol,equilibrium,100.0,14.7,4.849999999999992,1.8155506641236143,14.699995448319523,190.124336300149,233.32626914940343,Pexit = 14.704,1587.4406245658383,3067.612259306499,24.896363233527737,1.1434816116630457,1.1745195505098915,1.1745195252563292,,,,,
N2O_IPA,N2O,Isopropanol,equilibrium,125.0,14.7,4.999999999999991,2.097315136856625,14.700002114093591,199.69027654636255,239.65746381776466,Pexit = 14.704,1589.1049943380362,3097.4378836717315,25.103969276918573,1.1429332524133011,1.2323223879969698,1.2323224091892344,,,,,
N2O_IPA,N2O,Isopropanol,equilibrium,150.0,14.7,5.099999999999991,2.3662743093721805,14.699500090018018,207.00042280953232,244.60950178704456,Pexit = 14.7035,1590.455615290092,3119.5232733520943,25.244496327894133,1.1429740742860375,1.2763524810986486,1.2763497536324417,,,,,
